PyC,SiC,BN,Fabrication Temperature ,Fabrication Time,Fiber Density,Number of Fibers per Tow,Fiber Volume Fractions,Fiber Radius,Fiber Modulus,Matrix Volume Fraction,Strength,Tensile Testing Temperature
1,0,0,1200,32.0,2.8264,500.0,0.23,6.714,178.0,0.7091999999999998,217.0,20.0
1,0,0,1200,32.0,2.8264,500.0,0.23,6.714,178.0,0.7091999999999998,229.0,20.0
1,0,0,1200,32.0,2.8264,500.0,0.23,6.714,170.0,0.7091999999999998,366.2,20.0
1,0,0,1200,32.0,2.8264,500.0,0.23,6.714,178.0,0.7091999999999998,447.0,20.0
1,0,0,1200,32.0,2.8264,500.0,0.23,6.714,178.0,0.7091999999999998,454.0,20.0
1,0,0,1200,32.0,2.8264,500.0,0.23,6.714,178.0,0.7091999999999998,484.0,20.0
1,0,0,1200,32.0,2.8264,500.0,0.315,6.714,178.0,0.61,366.2,20.0
1,0,0,1200,32.0,2.8264,500.0,0.16,6.714,178.0,0.7,366.2,20.0
0,0,0,1100,500.0,2.8264,1000.0,0.325,6.5,141.0,0.675,570.0,312.0
0,0,0,1100,8.0,2.8264,500.0,0.33,6.713999999999999,234.0,0.6212,532.004,312.0
1,0,0,1100,4.0,2.34,500.0,0.6118,6.0,185.0,0.6212,454.0,312.0
1,0,0,900,4.0,2.29,500.0,0.45,6.0,185.0,0.7516,609.4,196.0
0,0,0,1100,4.0,2.25,500.0,0.45,6.0,185.0,0.6212,620.3,312.0
0,1,1,1100,4.0,2.29,500.0,0.45,6.0,185.0,0.522,630.9,20.0
0,2,2,1100,32.0,2.55,500.0,0.42,7.0,200.0,0.58,504.75199999999995,20.0
0,4,4,1100,32.0,2.9,500.0,0.185,6.5,380.0,0.522,750.0,20.0
1,0,0,1100,32.0,2.9,500.0,0.195,6.5,380.0,0.6212,820.0,312.0
0,1,1,1100,32.0,2.9,500.0,0.185,6.5,380.0,0.522,825.0,20.0
0,1,2,1100,32.0,2.98,500.0,0.46,6.5,372.0,0.522,870.0,20.0
0,2,3,1100,32.0,3.1,1600.0,0.43,3.5,387.0,0.522,855.0,20.0
1,0,0,1000,32.0,2.98,500.0,0.46,6.5,372.0,0.7516,980.0,20.0
1,0,0,1000,32.0,3.1,1600.0,0.43,3.5,387.0,0.7516,600.0,20.0
3,2,0,1000,32.0,2.98,500.0,0.44,6.5,372.0,0.7516,880.0,20.0
3,2,0,1000,32.0,2.98,500.0,0.4,6.5,372.0,0.7516,830.0,20.0
3,2,0,1000,80.0,2.8264000000000005,3000.0,0.3,3.5,244.8,0.7,350.0,196.0
1,0,0,1000,40.0,1.76,3000.0,0.661,3.5,230.0,0.329,502.7,196.0
1,0,0,1000,40.0,1.78,3000.0,0.673,3.5,230.0,0.327,371.4,196.0
1,0,0,1100,40.0,1.76,6000.0,0.805,3.5,230.0,0.195,490.7,312.0
1,0,0,1100,2.0,2.8264,500.0,0.45,6.714,234.0,0.55,485.6,312.0
1,0,0,1100,2.0,2.8264,500.0,0.45,6.714,234.0,0.55,502.6,312.0
1,0,0,1300,2.0,2.8264,500.0,0.45,6.714,178.0,0.55,507.8,20.0
1,0,0,1300,2.0,2.8264,500.0,0.45,6.714,178.0,0.55,494.7,20.0
1,0,0,1300,32.0,2.8264,500.0,0.1,7.0,200.0,0.9,310.0,20.0
1,0,0,1300,32.0,2.8264,500.0,0.16,6.5,280.0,0.84,440.0,20.0
0,0,1,1050,32.0,2.8264000000000005,500.0,0.16,4.5,380.0,0.84,450.0,20.0
0,0,1,1400,7.0,2.8264,500.0,0.35,6.034000000000001,224.0,0.65,204.2,20.0
0,0,1,1400,7.0,2.8264,500.0,0.46,6.034000000000001,224.0,0.54,204.2,20.0
1,0,0,950,7.0,2.8264000000000005,500.0,0.54,7.18,244.8,0.46,817.588,196.0
1,0,0,950,7.0,2.8264000000000005,500.0,0.5,7.18,244.8,0.5,817.588,196.0
1,0,0,950,32.0,2.8264000000000005,500.0,0.3028,7.18,244.8,0.7516,817.588,196.0
1,0,0,950,32.0,2.8264000000000005,500.0,0.3028,7.18,244.8,0.7516,817.588,196.0
